-----------------------------------------------------------------------------------------------------------------
lr=0.00001, momentum=0.99, weight_decay=0.1 dropout=0.7

Fold 1/5
Some weights of DeiTForImageClassification were not initialized from the model checkpoint at hugging_face/deit-base-distilled-patch16-224 and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Epoch [1/30], Train Loss: 0.6616, Train Acc: 0.5923, Val Loss: 0.5581, Val Acc: 0.7061, F1 Score: 0.7100, Recall: 0.8200, Precision: 0.6260, Sensitivity: 0.8200, Specificity: 0.6172, MCC: 0.4388, AUC: 0.7186
Epoch [2/30], Train Loss: 0.5054, Train Acc: 0.7615, Val Loss: 0.3842, Val Acc: 0.8509, F1 Score: 0.8317, Recall: 0.8400, Precision: 0.8235, Sensitivity: 0.8400, Specificity: 0.8594, MCC: 0.6980, AUC: 0.8497
Epoch [3/30], Train Loss: 0.3955, Train Acc: 0.8154, Val Loss: 0.3223, Val Acc: 0.8816, F1 Score: 0.8696, Recall: 0.9000, Precision: 0.8411, Sensitivity: 0.9000, Specificity: 0.8672, MCC: 0.7628, AUC: 0.8836
Epoch [4/30], Train Loss: 0.3106, Train Acc: 0.8516, Val Loss: 0.2252, Val Acc: 0.9123, F1 Score: 0.9000, Recall: 0.9000, Precision: 0.9000, Sensitivity: 0.9000, Specificity: 0.9219, MCC: 0.8219, AUC: 0.9109
Epoch [5/30], Train Loss: 0.2388, Train Acc: 0.9099, Val Loss: 0.1970, Val Acc: 0.9342, F1 Score: 0.9282, Recall: 0.9700, Precision: 0.8899, Sensitivity: 0.9700, Specificity: 0.9062, MCC: 0.8705, AUC: 0.9381
Epoch [6/30], Train Loss: 0.1928, Train Acc: 0.9319, Val Loss: 0.1611, Val Acc: 0.9298, F1 Score: 0.9208, Recall: 0.9300, Precision: 0.9118, Sensitivity: 0.9300, Specificity: 0.9297, MCC: 0.8579, AUC: 0.9298
Epoch [7/30], Train Loss: 0.1681, Train Acc: 0.9451, Val Loss: 0.1750, Val Acc: 0.9298, F1 Score: 0.9208, Recall: 0.9300, Precision: 0.9118, Sensitivity: 0.9300, Specificity: 0.9297, MCC: 0.8579, AUC: 0.9298
Epoch [8/30], Train Loss: 0.1540, Train Acc: 0.9505, Val Loss: 0.1430, Val Acc: 0.9474, F1 Score: 0.9417, Recall: 0.9700, Precision: 0.9151, Sensitivity: 0.9700, Specificity: 0.9297, MCC: 0.8951, AUC: 0.9498
Epoch [9/30], Train Loss: 0.1438, Train Acc: 0.9429, Val Loss: 0.1356, Val Acc: 0.9430, F1 Score: 0.9340, Recall: 0.9200, Precision: 0.9485, Sensitivity: 0.9200, Specificity: 0.9609, MCC: 0.8842, AUC: 0.9405
Epoch [10/30], Train Loss: 0.1223, Train Acc: 0.9571, Val Loss: 0.1228, Val Acc: 0.9518, F1 Score: 0.9463, Recall: 0.9700, Precision: 0.9238, Sensitivity: 0.9700, Specificity: 0.9375, MCC: 0.9035, AUC: 0.9537
Epoch [11/30], Train Loss: 0.1202, Train Acc: 0.9593, Val Loss: 0.1319, Val Acc: 0.9561, F1 Score: 0.9505, Recall: 0.9600, Precision: 0.9412, Sensitivity: 0.9600, Specificity: 0.9531, MCC: 0.9113, AUC: 0.9566
Epoch [12/30], Train Loss: 0.1195, Train Acc: 0.9582, Val Loss: 0.1583, Val Acc: 0.9386, F1 Score: 0.9307, Recall: 0.9400, Precision: 0.9216, Sensitivity: 0.9400, Specificity: 0.9375, MCC: 0.8757, AUC: 0.9387
Epoch [13/30], Train Loss: 0.1241, Train Acc: 0.9538, Val Loss: 0.1185, Val Acc: 0.9430, F1 Score: 0.9366, Recall: 0.9600, Precision: 0.9143, Sensitivity: 0.9600, Specificity: 0.9297, MCC: 0.8857, AUC: 0.9448
Epoch [14/30], Train Loss: 0.1204, Train Acc: 0.9626, Val Loss: 0.1272, Val Acc: 0.9605, F1 Score: 0.9557, Recall: 0.9700, Precision: 0.9417, Sensitivity: 0.9700, Specificity: 0.9531, MCC: 0.9204, AUC: 0.9616
Epoch [15/30], Train Loss: 0.1216, Train Acc: 0.9615, Val Loss: 0.1268, Val Acc: 0.9386, F1 Score: 0.9307, Recall: 0.9400, Precision: 0.9216, Sensitivity: 0.9400, Specificity: 0.9375, MCC: 0.8757, AUC: 0.9387
Epoch [16/30], Train Loss: 0.1179, Train Acc: 0.9648, Val Loss: 0.1180, Val Acc: 0.9561, F1 Score: 0.9510, Recall: 0.9700, Precision: 0.9327, Sensitivity: 0.9700, Specificity: 0.9453, MCC: 0.9119, AUC: 0.9577
Epoch [17/30], Train Loss: 0.1178, Train Acc: 0.9648, Val Loss: 0.1344, Val Acc: 0.9518, F1 Score: 0.9463, Recall: 0.9700, Precision: 0.9238, Sensitivity: 0.9700, Specificity: 0.9375, MCC: 0.9035, AUC: 0.9537
Epoch [18/30], Train Loss: 0.1159, Train Acc: 0.9648, Val Loss: 0.1452, Val Acc: 0.9474, F1 Score: 0.9417, Recall: 0.9700, Precision: 0.9151, Sensitivity: 0.9700, Specificity: 0.9297, MCC: 0.8951, AUC: 0.9498
Epoch [19/30], Train Loss: 0.1170, Train Acc: 0.9582, Val Loss: 0.1190, Val Acc: 0.9605, F1 Score: 0.9561, Recall: 0.9800, Precision: 0.9333, Sensitivity: 0.9800, Specificity: 0.9453, MCC: 0.9212, AUC: 0.9627
Epoch [20/30], Train Loss: 0.1217, Train Acc: 0.9571, Val Loss: 0.1449, Val Acc: 0.9474, F1 Score: 0.9406, Recall: 0.9500, Precision: 0.9314, Sensitivity: 0.9500, Specificity: 0.9453, MCC: 0.8935, AUC: 0.9477
