-----------------------------------------------------------------------------------------
dropout=0.5 lr=0.00001, momentum=0.99, weight_decay=0.1

Fold 1/5
Epoch [1/30], Train Loss: 8.2155, Train Acc: 0.0000, Val Loss: 434.6482, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9880, Precision: 0.0120, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.4932
^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[B^[[BEpoch [2/30], Train Loss: 7.9433, Train Acc: 0.0011, Val Loss: 84.4621, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9892, Precision: 0.0108, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.4836
Epoch [3/30], Train Loss: 7.6799, Train Acc: 0.0011, Val Loss: 177.9995, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9846, Precision: 0.0154, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.5837
Epoch [4/30], Train Loss: 7.6189, Train Acc: 0.0011, Val Loss: 86.7112, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9853, Precision: 0.0074, Sensitivity: 0.0000, Specificity: 0.0000, MCC: -0.0035, AUC: 0.4893
Epoch [5/30], Train Loss: 7.4408, Train Acc: 0.0022, Val Loss: 266.4509, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9884, Precision: 0.0116, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.4502
Epoch [6/30], Train Loss: 7.1880, Train Acc: 0.0011, Val Loss: 218.4405, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9886, Precision: 0.0115, Sensitivity: 0.0000, Specificity: 1.0000, MCC: 0.0028, AUC: 0.4779
Epoch [7/30], Train Loss: 6.9818, Train Acc: 0.0055, Val Loss: 36.3522, Val Acc: 0.0088, F1 Score: 0.0002, Recall: 0.9893, Precision: 0.0081, Sensitivity: 0.5000, Specificity: 1.0000, MCC: 0.0028, AUC: 0.4404
Epoch [8/30], Train Loss: 6.7125, Train Acc: 0.0165, Val Loss: 32.4795, Val Acc: 0.0263, F1 Score: 0.0006, Recall: 0.9889, Precision: 0.0084, Sensitivity: 0.8000, Specificity: 0.6667, MCC: 0.0133, AUC: 0.4081
Epoch [9/30], Train Loss: 6.5118, Train Acc: 0.0132, Val Loss: 47.4269, Val Acc: 0.0088, F1 Score: 0.0002, Recall: 0.9883, Precision: 0.0118, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0070, AUC: 0.4715
Epoch [10/30], Train Loss: 6.3791, Train Acc: 0.0132, Val Loss: 8227.3582, Val Acc: 0.0044, F1 Score: 0.0005, Recall: 0.9377, Precision: 0.0312, Sensitivity: 0.0000, Specificity: 0.3333, MCC: -0.0032, AUC: 0.5174
Epoch [11/30], Train Loss: 6.4697, Train Acc: 0.0187, Val Loss: 45.1080, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9874, Precision: 0.0063, Sensitivity: 0.0000, Specificity: 0.2500, MCC: -0.0055, AUC: 0.5399
Epoch [12/30], Train Loss: 6.4513, Train Acc: 0.0198, Val Loss: 16.3354, Val Acc: 0.0307, F1 Score: 0.0008, Recall: 0.9875, Precision: 0.0103, Sensitivity: 1.0000, Specificity: 0.2000, MCC: 0.0129, AUC: 0.3998
Epoch [13/30], Train Loss: 6.4287, Train Acc: 0.0198, Val Loss: 32.7667, Val Acc: 0.0088, F1 Score: 0.0002, Recall: 0.9876, Precision: 0.0094, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0015, AUC: 0.5500
Epoch [14/30], Train Loss: 6.3992, Train Acc: 0.0121, Val Loss: 71.2443, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9880, Precision: 0.0060, Sensitivity: 0.0000, Specificity: 0.0000, MCC: -0.0165, AUC: 0.5543
Epoch [15/30], Train Loss: 6.3044, Train Acc: 0.0154, Val Loss: 72.8135, Val Acc: 0.0219, F1 Score: 0.0005, Recall: 0.9884, Precision: 0.0107, Sensitivity: 1.0000, Specificity: 0.5000, MCC: 0.0141, AUC: 0.5011
Epoch [16/30], Train Loss: 6.3267, Train Acc: 0.0253, Val Loss: 67.2732, Val Acc: 0.0175, F1 Score: 0.0004, Recall: 0.9881, Precision: 0.0097, Sensitivity: 1.0000, Specificity: 0.3333, MCC: 0.0078, AUC: 0.4763
Epoch [17/30], Train Loss: 6.2727, Train Acc: 0.0209, Val Loss: 42.3443, Val Acc: 0.0132, F1 Score: 0.0003, Recall: 0.9882, Precision: 0.0080, Sensitivity: 1.0000, Specificity: 0.2000, MCC: -0.0012, AUC: 0.5280
Epoch [18/30], Train Loss: 6.2806, Train Acc: 0.0176, Val Loss: 20.0233, Val Acc: 0.0219, F1 Score: 0.0006, Recall: 0.9869, Precision: 0.0087, Sensitivity: 1.0000, Specificity: 0.2222, MCC: -0.0032, AUC: 0.5918
Epoch [19/30], Train Loss: 6.2719, Train Acc: 0.0154, Val Loss: 44.3460, Val Acc: 0.0088, F1 Score: 0.0002, Recall: 0.9885, Precision: 0.0058, Sensitivity: 0.6667, Specificity: 0.0000, MCC: 0.0035, AUC: 0.5338
Epoch [20/30], Train Loss: 6.1996, Train Acc: 0.0154, Val Loss: 54.3158, Val Acc: 0.0132, F1 Score: 0.0003, Recall: 0.9888, Precision: 0.0028, Sensitivity: 0.7500, Specificity: 0.0000, MCC: -0.0012, AUC: 0.5197
Epoch [21/30], Train Loss: 6.1673, Train Acc: 0.0209, Val Loss: 45.0852, Val Acc: 0.0307, F1 Score: 0.0007, Recall: 0.9889, Precision: 0.0093, Sensitivity: 1.0000, Specificity: 0.4000, MCC: 0.0149, AUC: 0.4933
Epoch [22/30], Train Loss: 6.1881, Train Acc: 0.0220, Val Loss: 50.4129, Val Acc: 0.0175, F1 Score: 0.0004, Recall: 0.9889, Precision: 0.0114, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0141, AUC: 0.4923
Epoch [23/30], Train Loss: 6.1981, Train Acc: 0.0231, Val Loss: 132.4323, Val Acc: 0.0132, F1 Score: 0.0003, Recall: 0.9880, Precision: 0.0121, Sensitivity: 1.0000, Specificity: 1.0000, MCC: 0.0098, AUC: 0.5207
Epoch [24/30], Train Loss: 6.2054, Train Acc: 0.0176, Val Loss: 110.7174, Val Acc: 0.0263, F1 Score: 0.0006, Recall: 0.9880, Precision: 0.0088, Sensitivity: 1.0000, Specificity: 0.4286, MCC: 0.0078, AUC: 0.5425
Epoch [25/30], Train Loss: 6.1554, Train Acc: 0.0220, Val Loss: 11.0233, Val Acc: 0.0088, F1 Score: 0.0002, Recall: 0.9882, Precision: 0.0119, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0070, AUC: 0.5489
Epoch [26/30], Train Loss: 6.1861, Train Acc: 0.0176, Val Loss: 24.2004, Val Acc: 0.0132, F1 Score: 0.0003, Recall: 0.9881, Precision: 0.0084, Sensitivity: 1.0000, Specificity: 0.2500, MCC: 0.0015, AUC: 0.5929
Epoch [27/30], Train Loss: 6.2026, Train Acc: 0.0220, Val Loss: 90.7617, Val Acc: 0.0175, F1 Score: 0.0004, Recall: 0.9882, Precision: 0.0030, Sensitivity: 0.8000, Specificity: 0.0000, MCC: -0.0004, AUC: 0.4496
Epoch [28/30], Train Loss: 6.1683, Train Acc: 0.0165, Val Loss: 41.9759, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9882, Precision: 0.0009, Sensitivity: 0.3333, Specificity: 0.0000, MCC: -0.0200, AUC: 0.5479
Epoch [29/30], Train Loss: 6.1470, Train Acc: 0.0220, Val Loss: 96.9367, Val Acc: 0.0395, F1 Score: 0.0010, Recall: 0.9882, Precision: 0.0093, Sensitivity: 0.8571, Specificity: 0.6000, MCC: 0.0204, AUC: 0.4858
Epoch [30/30], Train Loss: 6.1924, Train Acc: 0.0198, Val Loss: 11.6297, Val Acc: 0.0263, F1 Score: 0.0006, Recall: 0.9886, Precision: 0.0072, Sensitivity: 0.8000, Specificity: 0.4000, MCC: 0.0078, AUC: 0.5586
Fold 2/5
Epoch [1/30], Train Loss: 8.2523, Train Acc: 0.0000, Val Loss: 23.5780, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9894, Precision: 0.0106, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.4446
Epoch [2/30], Train Loss: 7.9642, Train Acc: 0.0000, Val Loss: 189.4110, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9883, Precision: 0.0118, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0031, AUC: 0.4715
Epoch [3/30], Train Loss: 7.7514, Train Acc: 0.0000, Val Loss: 13.6486, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9890, Precision: 0.0110, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.5380
Epoch [4/30], Train Loss: 7.5379, Train Acc: 0.0000, Val Loss: 18.3297, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9887, Precision: 0.0056, Sensitivity: 0.0000, Specificity: 0.0000, MCC: -0.0031, AUC: 0.5414
Epoch [5/30], Train Loss: 7.2717, Train Acc: 0.0011, Val Loss: 30.6130, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9890, Precision: 0.0110, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.5505
Epoch [6/30], Train Loss: 7.0296, Train Acc: 0.0022, Val Loss: 6.7833, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9882, Precision: 0.0118, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0031, AUC: 0.4982
Epoch [7/30], Train Loss: 6.7560, Train Acc: 0.0022, Val Loss: 53.3029, Val Acc: 0.0175, F1 Score: 0.0004, Recall: 0.9897, Precision: 0.0105, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0124, AUC: 0.5762
Epoch [8/30], Train Loss: 6.5483, Train Acc: 0.0066, Val Loss: 6.8585, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9884, Precision: 0.0073, Sensitivity: 1.0000, Specificity: 0.0000, MCC: -0.0062, AUC: 0.5086
Epoch [9/30], Train Loss: 6.2355, Train Acc: 0.0319, Val Loss: 14.6190, Val Acc: 0.0395, F1 Score: 0.0009, Recall: 0.9886, Precision: 0.0119, Sensitivity: 1.0000, Specificity: 1.0000, MCC: 0.0280, AUC: 0.4826
Epoch [10/30], Train Loss: 5.9727, Train Acc: 0.0495, Val Loss: 6.0576, Val Acc: 0.0219, F1 Score: 0.0005, Recall: 0.9887, Precision: 0.0075, Sensitivity: 0.8000, Specificity: 0.5000, MCC: 0.0093, AUC: 0.4626
Epoch [11/30], Train Loss: 5.8029, Train Acc: 0.0473, Val Loss: 5.8886, Val Acc: 0.0395, F1 Score: 0.0008, Recall: 0.9897, Precision: 0.0100, Sensitivity: 0.7500, Specificity: 1.0000, MCC: 0.0249, AUC: 0.5344
