------------------------------------------------------------------------------
lr=0.0001, momentum=0.9, weight_decay=0.01 dropout=0.5

Fold 1/5
Epoch [1/30], Train Loss: 2.7877, Train Acc: 0.4264, Val Loss: 0.4392, Val Acc: 0.8114, F1 Score: 0.8106, Recall: 0.8156, Precision: 0.8109, Sensitivity: 0.8500, Specificity: 0.7812, MCC: 0.6265, AUC: 0.8156
Epoch [2/30], Train Loss: 0.3864, Train Acc: 0.8374, Val Loss: 0.3117, Val Acc: 0.8377, F1 Score: 0.8372, Recall: 0.8434, Precision: 0.8383, Sensitivity: 0.8900, Specificity: 0.7969, MCC: 0.6817, AUC: 0.8434
Epoch [3/30], Train Loss: 0.2997, Train Acc: 0.8703, Val Loss: 0.2405, Val Acc: 0.8991, F1 Score: 0.8972, Recall: 0.8959, Precision: 0.8988, Sensitivity: 0.8700, Specificity: 0.9219, MCC: 0.7948, AUC: 0.8959
Epoch [4/30], Train Loss: 0.2671, Train Acc: 0.8934, Val Loss: 0.2271, Val Acc: 0.8860, F1 Score: 0.8834, Recall: 0.8809, Precision: 0.8871, Sensitivity: 0.8400, Specificity: 0.9219, MCC: 0.7680, AUC: 0.8809
Epoch [5/30], Train Loss: 0.2423, Train Acc: 0.9154, Val Loss: 0.2389, Val Acc: 0.9035, F1 Score: 0.9031, Recall: 0.9097, Precision: 0.9035, Sensitivity: 0.9600, Specificity: 0.8594, MCC: 0.8132, AUC: 0.9097
Epoch [6/30], Train Loss: 0.2035, Train Acc: 0.9286, Val Loss: 0.1712, Val Acc: 0.9035, F1 Score: 0.9018, Recall: 0.9009, Precision: 0.9028, Sensitivity: 0.8800, Specificity: 0.9219, MCC: 0.8038, AUC: 0.9009
Epoch [7/30], Train Loss: 0.1728, Train Acc: 0.9308, Val Loss: 0.2319, Val Acc: 0.8991, F1 Score: 0.8983, Recall: 0.9014, Precision: 0.8968, Sensitivity: 0.9200, Specificity: 0.8828, MCC: 0.7982, AUC: 0.9014
Epoch [8/30], Train Loss: 0.1879, Train Acc: 0.9264, Val Loss: 0.2081, Val Acc: 0.9254, F1 Score: 0.9249, Recall: 0.9292, Precision: 0.9236, Sensitivity: 0.9600, Specificity: 0.8984, MCC: 0.8528, AUC: 0.9292
Epoch [9/30], Train Loss: 0.1645, Train Acc: 0.9418, Val Loss: 0.1733, Val Acc: 0.9254, F1 Score: 0.9242, Recall: 0.9238, Precision: 0.9247, Sensitivity: 0.9100, Specificity: 0.9375, MCC: 0.8485, AUC: 0.9238
Epoch [10/30], Train Loss: 0.1399, Train Acc: 0.9451, Val Loss: 0.1479, Val Acc: 0.9386, F1 Score: 0.9375, Recall: 0.9366, Precision: 0.9386, Sensitivity: 0.9200, Specificity: 0.9531, MCC: 0.8752, AUC: 0.9366
Epoch [11/30], Train Loss: 0.1179, Train Acc: 0.9626, Val Loss: 0.1832, Val Acc: 0.9342, F1 Score: 0.9334, Recall: 0.9348, Precision: 0.9323, Sensitivity: 0.9400, Specificity: 0.9297, MCC: 0.8672, AUC: 0.9348
Epoch [12/30], Train Loss: 0.1200, Train Acc: 0.9560, Val Loss: 0.1414, Val Acc: 0.9386, F1 Score: 0.9377, Recall: 0.9377, Precision: 0.9377, Sensitivity: 0.9300, Specificity: 0.9453, MCC: 0.8753, AUC: 0.9377
Epoch [13/30], Train Loss: 0.1270, Train Acc: 0.9538, Val Loss: 0.1529, Val Acc: 0.9298, F1 Score: 0.9287, Recall: 0.9287, Precision: 0.9287, Sensitivity: 0.9200, Specificity: 0.9375, MCC: 0.8575, AUC: 0.9287
Epoch [14/30], Train Loss: 0.1112, Train Acc: 0.9659, Val Loss: 0.1620, Val Acc: 0.9298, F1 Score: 0.9286, Recall: 0.9277, Precision: 0.9297, Sensitivity: 0.9100, Specificity: 0.9453, MCC: 0.8573, AUC: 0.9277
Epoch [15/30], Train Loss: 0.1233, Train Acc: 0.9527, Val Loss: 0.1457, Val Acc: 0.9386, F1 Score: 0.9377, Recall: 0.9377, Precision: 0.9377, Sensitivity: 0.9300, Specificity: 0.9453, MCC: 0.8753, AUC: 0.9377
Epoch [16/30], Train Loss: 0.1194, Train Acc: 0.9604, Val Loss: 0.1816, Val Acc: 0.9430, F1 Score: 0.9422, Recall: 0.9427, Precision: 0.9417, Sensitivity: 0.9400, Specificity: 0.9453, MCC: 0.8844, AUC: 0.9427
Epoch [17/30], Train Loss: 0.1202, Train Acc: 0.9648, Val Loss: 0.1459, Val Acc: 0.9342, F1 Score: 0.9334, Recall: 0.9348, Precision: 0.9323, Sensitivity: 0.9400, Specificity: 0.9297, MCC: 0.8672, AUC: 0.9348
Epoch [18/30], Train Loss: 0.1137, Train Acc: 0.9648, Val Loss: 0.1631, Val Acc: 0.9430, F1 Score: 0.9422, Recall: 0.9427, Precision: 0.9417, Sensitivity: 0.9400, Specificity: 0.9453, MCC: 0.8844, AUC: 0.9427
Epoch [19/30], Train Loss: 0.1044, Train Acc: 0.9725, Val Loss: 0.1475, Val Acc: 0.9342, F1 Score: 0.9333, Recall: 0.9338, Precision: 0.9328, Sensitivity: 0.9300, Specificity: 0.9375, MCC: 0.8666, AUC: 0.9338
Epoch [20/30], Train Loss: 0.1141, Train Acc: 0.9626, Val Loss: 0.1417, Val Acc: 0.9386, F1 Score: 0.9377, Recall: 0.9377, Precision: 0.9377, Sensitivity: 0.9300, Specificity: 0.9453, MCC: 0.8753, AUC: 0.9377
Epoch [21/30], Train Loss: 0.1099, Train Acc: 0.9681, Val Loss: 0.2445, Val Acc: 0.9342, F1 Score: 0.9331, Recall: 0.9327, Precision: 0.9336, Sensitivity: 0.9200, Specificity: 0.9453, MCC: 0.8663, AUC: 0.9327
Epoch [22/30], Train Loss: 0.1091, Train Acc: 0.9648, Val Loss: 0.1298, Val Acc: 0.9386, F1 Score: 0.9378, Recall: 0.9387, Precision: 0.9370, Sensitivity: 0.9400, Specificity: 0.9375, MCC: 0.8757, AUC: 0.9387
Epoch [23/30], Train Loss: 0.1155, Train Acc: 0.9604, Val Loss: 0.1780, Val Acc: 0.9386, F1 Score: 0.9378, Recall: 0.9387, Precision: 0.9370, Sensitivity: 0.9400, Specificity: 0.9375, MCC: 0.8757, AUC: 0.9387
Epoch [24/30], Train Loss: 0.1121, Train Acc: 0.9714, Val Loss: 0.1449, Val Acc: 0.9386, F1 Score: 0.9375, Recall: 0.9366, Precision: 0.9386, Sensitivity: 0.9200, Specificity: 0.9531, MCC: 0.8752, AUC: 0.9366
Epoch [25/30], Train Loss: 0.1156, Train Acc: 0.9626, Val Loss: 0.1649, Val Acc: 0.9386, F1 Score: 0.9377, Recall: 0.9377, Precision: 0.9377, Sensitivity: 0.9300, Specificity: 0.9453, MCC: 0.8753, AUC: 0.9377
Epoch [26/30], Train Loss: 0.1196, Train Acc: 0.9571, Val Loss: 0.1619, Val Acc: 0.9254, F1 Score: 0.9242, Recall: 0.9238, Precision: 0.9247, Sensitivity: 0.9100, Specificity: 0.9375, MCC: 0.8485, AUC: 0.9238
Epoch [27/30], Train Loss: 0.1048, Train Acc: 0.9692, Val Loss: 0.1429, Val Acc: 0.9342, F1 Score: 0.9333, Recall: 0.9338, Precision: 0.9328, Sensitivity: 0.9300, Specificity: 0.9375, MCC: 0.8666, AUC: 0.9338
Epoch [28/30], Train Loss: 0.1106, Train Acc: 0.9681, Val Loss: 0.1624, Val Acc: 0.9298, F1 Score: 0.9289, Recall: 0.9298, Precision: 0.9281, Sensitivity: 0.9300, Specificity: 0.9297, MCC: 0.8579, AUC: 0.9298
Epoch [29/30], Train Loss: 0.1029, Train Acc: 0.9692, Val Loss: 0.1280, Val Acc: 0.9386, F1 Score: 0.9377, Recall: 0.9377, Precision: 0.9377, Sensitivity: 0.9300, Specificity: 0.9453, MCC: 0.8753, AUC: 0.9377
Epoch [30/30], Train Loss: 0.1151, Train Acc: 0.9703, Val Loss: 0.1354, Val Acc: 0.9342, F1 Score: 0.9330, Recall: 0.9316, Precision: 0.9347, Sensitivity: 0.9100, Specificity: 0.9531, MCC: 0.8663, AUC: 0.9316
Fold 2/5
Epoch [1/30], Train Loss: 2.6907, Train Acc: 0.4824, Val Loss: 0.5129, Val Acc: 0.7895, F1 Score: 0.7867, Recall: 0.7895, Precision: 0.8054, Sensitivity: 0.6754, Specificity: 0.9035, MCC: 0.5946, AUC: 0.7895
Epoch [2/30], Train Loss: 0.4397, Train Acc: 0.8077, Val Loss: 0.3254, Val Acc: 0.8465, F1 Score: 0.8443, Recall: 0.8465, Precision: 0.8671, Sensitivity: 0.9649, Specificity: 0.7281, MCC: 0.7133, AUC: 0.8465
